YY,MM,DD,hh,WTMP
2013,12,31,23,9.7
2014,01,01,00,9.7
2014,01,01,01,9.7
2014,01,01,02,9.7
2014,01,01,03,9.7
2014,01,01,04,9.7
2014,01,01,05,9.7
2014,01,01,06,9.7
2014,01,01,07,9.6
2014,01,01,08,9.6
2014,01,01,09,9.6
2014,01,01,10,9.6
2014,01,01,11,9.6
2014,01,01,12,9.6
2014,01,01,13,9.6
2014,01,01,14,9.6
2014,01,01,15,9.6
2014,01,01,16,9.4
2014,01,01,17,9.4
2014,01,01,18,9.4
2014,01,01,19,9.5
2014,01,01,20,9.6
2014,01,01,21,9.7
2014,01,01,22,9.7
2014,01,01,23,9.7
2014,01,02,00,9.6
2014,01,02,01,9.5
2014,01,02,02,8.9
2014,01,02,03,9.1
2014,01,02,04,9.2
2014,01,02,05,9.3
2014,01,02,06,9.1
2014,01,02,07,8.9
2014,01,02,08,9.2
2014,01,02,09,8.9
2014,01,02,10,9.2
2014,01,02,11,9.4
2014,01,02,12,9.3
2014,01,02,13,9.5
2014,01,02,14,9.6
2014,01,02,15,9.6
2014,01,02,16,9.5
2014,01,02,17,9.6
2014,01,02,18,9.6
2014,01,02,19,9.7
2014,01,02,20,9.7
2014,01,02,21,9.8
2014,01,02,22,9.7
2014,01,02,23,9.7
2014,01,03,00,9.7
2014,01,03,01,9.6
2014,01,03,02,9.6
2014,01,03,03,9.6
2014,01,03,04,9.6
2014,01,03,05,9.6
2014,01,03,06,9.6
2014,01,03,07,9.6
2014,01,03,08,9.6
2014,01,03,09,9.6
2014,01,03,10,9.6
2014,01,03,11,9.5
2014,01,03,12,9.5
2014,01,03,13,9.5
2014,01,03,14,9.5
2014,01,03,15,9.5
2014,01,03,16,9.5
2014,01,03,17,9.5
2014,01,03,18,9.5
2014,01,03,19,9.5
2014,01,03,20,9.5
2014,01,03,21,9.5
2014,01,03,22,9.5
2014,01,03,23,9.5
2014,01,04,00,9.4
2014,01,04,01,9.5
2014,01,04,02,9.4
2014,01,04,03,9.3
2014,01,04,04,9.3
2014,01,04,05,9.2
2014,01,04,06,9.2
2014,01,04,07,9.1
2014,01,04,08,9.1
2014,01,04,09,9.1
2014,01,04,10,9.0
2014,01,04,11,9.0
2014,01,04,12,9.0
2014,01,04,13,8.9
2014,01,04,14,8.8
2014,01,04,15,8.8
2014,01,04,16,8.8
2014,01,04,17,8.8
2014,01,04,18,8.7
2014,01,04,19,8.7
2014,01,04,20,8.7
2014,01,04,21,8.6
2014,01,04,22,8.7
2014,01,04,23,8.7
2014,01,05,00,8.8
2014,01,05,01,8.8
2014,01,05,02,8.8
2014,01,05,03,8.9
2014,01,05,04,8.9
2014,01,05,05,8.9
2014,01,05,06,8.9
2014,01,05,07,8.8
2014,01,05,08,8.8
2014,01,05,09,8.8
2014,01,05,10,8.6
2014,01,05,11,8.5
2014,01,05,12,8.5
2014,01,05,13,8.4
2014,01,05,14,8.4
2014,01,05,15,8.5
2014,01,05,16,8.5
2014,01,05,17,8.5
2014,01,05,18,8.6
2014,01,05,19,8.6
2014,01,05,20,8.6
2014,01,05,21,8.6
2014,01,05,22,8.6
2014,01,05,23,8.6
2014,01,06,00,8.6
2014,01,06,01,8.6
2014,01,06,02,8.6
2014,01,06,03,8.5
2014,01,06,04,8.5
2014,01,06,05,8.5
2014,01,06,06,8.4
2014,01,06,07,8.4
2014,01,06,08,8.5
2014,01,06,09,8.5
2014,01,06,10,8.5
2014,01,06,11,8.5
2014,01,06,12,8.5
2014,01,06,13,8.5
2014,01,06,14,8.5
2014,01,06,15,8.4
2014,01,06,16,8.5
2014,01,06,17,8.5
2014,01,06,18,8.5
2014,01,06,19,8.5
2014,01,06,20,8.5
2014,01,06,21,8.5
2014,01,06,22,8.5
2014,01,06,23,8.5
2014,01,07,00,8.6
2014,01,07,01,8.6
2014,01,07,02,8.6
2014,01,07,03,8.6
2014,01,07,04,8.6
2014,01,07,05,8.6
2014,01,07,06,8.5
2014,01,07,07,8.5
2014,01,07,08,8.5
2014,01,07,09,8.5
2014,01,07,10,8.5
2014,01,07,11,8.4
2014,01,07,12,8.5
2014,01,07,13,8.4
2014,01,07,14,8.5
2014,01,07,15,8.4
2014,01,07,16,8.5
2014,01,07,18,8.5
2014,01,07,19,8.5
2014,01,07,20,8.5
2014,01,07,21,8.5
2014,01,07,22,8.6
2014,01,07,23,8.6
2014,01,08,00,8.7
2014,01,08,01,8.7
2014,01,08,02,8.7
2014,01,08,03,8.7
2014,01,08,04,8.7
2014,01,08,05,8.7
2014,01,08,06,8.7
2014,01,08,07,8.7
2014,01,08,08,8.8
2014,01,08,09,8.8
2014,01,08,10,8.9
2014,01,08,11,8.8
2014,01,08,12,8.9
2014,01,08,13,8.9
2014,01,08,14,8.9
2014,01,08,15,8.9
2014,01,08,16,8.9
2014,01,08,17,8.7
2014,01,08,18,8.8
2014,01,08,19,9.0
2014,01,08,20,9.0
2014,01,08,21,8.9
2014,01,08,22,8.9
2014,01,08,23,9.0
2014,01,09,00,9.1
2014,01,09,01,9.1
2014,01,09,02,9.2
2014,01,09,03,9.2
2014,01,09,04,9.2
2014,01,09,05,9.1
2014,01,09,06,9.0
2014,01,09,07,8.9
2014,01,09,08,8.8
2014,01,09,09,8.8
2014,01,09,10,8.8
2014,01,09,11,8.9
2014,01,09,12,8.9
2014,01,09,13,9.0
2014,01,09,14,9.1
2014,01,09,15,9.1
2014,01,09,16,9.1
2014,01,09,17,9.1
2014,01,09,18,9.1
2014,01,09,19,9.1
2014,01,09,20,9.1
2014,01,09,21,9.0
2014,01,09,22,9.1
2014,01,09,23,9.1
2014,01,10,00,9.1
2014,01,10,01,9.1
2014,01,10,02,9.1
2014,01,10,03,9.2
2014,01,10,04,9.2
2014,01,10,05,9.2
2014,01,10,06,9.2
2014,01,10,07,9.2
2014,01,10,08,9.2
2014,01,10,09,9.2
2014,01,10,10,9.2
2014,01,10,11,9.3
2014,01,10,12,9.3
2014,01,10,13,9.3
2014,01,10,14,9.3
2014,01,10,15,9.3
2014,01,10,16,9.3
2014,01,10,17,9.3
2014,01,10,18,9.3
2014,01,10,19,9.3
2014,01,10,20,9.3
2014,01,10,21,9.3
2014,01,10,22,9.3
2014,01,10,23,9.3
2014,01,11,00,9.3
2014,01,11,01,9.3
2014,01,11,02,9.3
2014,01,11,03,9.2
2014,01,11,04,9.2
2014,01,11,05,9.2
2014,01,11,06,9.2
2014,01,11,07,9.2
2014,01,11,08,9.2
2014,01,11,09,9.2
2014,01,11,10,9.1
2014,01,11,11,9.2
2014,01,11,12,9.2
2014,01,11,13,9.2
2014,01,11,14,9.2
2014,01,11,15,9.2
2014,01,11,16,9.1
2014,01,11,17,9.1
2014,01,11,18,9.0
2014,01,11,19,9.0
2014,01,11,20,9.0
2014,01,11,21,8.9
2014,01,11,22,8.9
2014,01,11,23,8.9
2014,01,12,00,8.8
2014,01,12,01,8.8
2014,01,12,02,8.8
2014,01,12,03,8.9
2014,01,12,04,8.9
2014,01,12,05,8.9
2014,01,12,06,8.9
2014,01,12,07,8.9
2014,01,12,08,8.9
2014,01,12,09,8.9
2014,01,12,10,8.9
2014,01,12,11,8.9
2014,01,12,12,8.8
2014,01,12,13,8.7
2014,01,12,14,8.7
2014,01,12,15,8.7
2014,01,12,16,8.7
2014,01,12,17,8.7
2014,01,12,18,8.8
2014,01,12,19,8.8
2014,01,12,20,8.8
2014,01,12,21,8.8
2014,01,12,22,8.9
2014,01,12,23,8.9
2014,01,13,00,8.9
2014,01,13,01,9.0
2014,01,13,02,9.0
2014,01,13,03,9.0
2014,01,13,04,9.0
2014,01,13,05,9.0
2014,01,13,06,8.9
2014,01,13,07,8.7
2014,01,13,08,8.7
2014,01,13,09,8.7
2014,01,13,10,8.7
2014,01,13,11,8.7
2014,01,13,12,8.7
2014,01,13,13,8.8
2014,01,13,14,8.9
2014,01,13,15,8.9
2014,01,13,16,8.9
2014,01,13,17,9.0
2014,01,13,18,9.0
2014,01,13,19,9.0
2014,01,13,20,8.9
2014,01,13,21,8.9
2014,01,13,22,8.8
2014,01,13,23,8.8
2014,01,14,00,8.7
2014,01,14,01,8.6
2014,01,14,02,8.6
2014,01,14,03,8.6
2014,01,14,04,8.7
2014,01,14,05,8.8
2014,01,14,06,8.8
2014,01,14,07,8.8
2014,01,14,08,8.8
2014,01,14,09,8.8
2014,01,14,10,8.7
2014,01,14,11,8.7
2014,01,14,12,8.6
2014,01,14,13,8.6
2014,01,14,14,8.6
2014,01,14,15,8.6
2014,01,14,16,8.6
2014,01,14,17,8.6
2014,01,14,18,8.7
2014,01,14,19,8.7
2014,01,14,20,8.8
2014,01,14,21,8.8
2014,01,14,22,8.9
2014,01,14,23,8.8
2014,01,15,00,8.8
2014,01,15,01,8.7
2014,01,15,02,8.8
2014,01,15,03,8.8
2014,01,15,04,8.7
2014,01,15,05,8.7
2014,01,15,06,8.7
2014,01,15,07,8.7
2014,01,15,08,8.6
2014,01,15,09,8.6
2014,01,15,10,8.6
2014,01,15,11,8.6
2014,01,15,12,8.6
2014,01,15,13,8.6
2014,01,15,14,8.6
2014,01,15,15,8.6
2014,01,15,16,8.6
2014,01,15,17,8.7
2014,01,15,18,8.7
2014,01,15,19,8.8
2014,01,15,20,8.8
2014,01,15,21,8.8
2014,01,15,22,8.8
2014,01,15,23,8.8
2014,01,16,00,8.7
2014,01,16,01,8.7
2014,01,16,02,8.6
2014,01,16,03,8.6
2014,01,16,04,8.6
2014,01,16,05,8.5
2014,01,16,06,8.5
2014,01,16,07,8.5
2014,01,16,08,8.5
2014,01,16,09,8.5
2014,01,16,10,8.5
2014,01,16,11,8.5
2014,01,16,12,8.5
2014,01,16,13,8.5
2014,01,16,14,8.5
2014,01,16,15,8.5
2014,01,16,16,8.5
2014,01,16,17,8.5
2014,01,16,18,8.5
2014,01,16,19,8.5
2014,01,16,20,8.6
2014,01,16,21,8.6
2014,01,16,22,8.6
2014,01,16,23,8.7
2014,01,17,00,8.6
2014,01,17,01,8.6
2014,01,17,02,8.7
2014,01,17,03,8.8
2014,01,17,04,8.8
2014,01,17,05,8.8
2014,01,17,06,8.7
2014,01,17,07,8.6
2014,01,17,08,8.6
2014,01,17,09,8.6
2014,01,17,10,8.5
2014,01,17,11,8.6
2014,01,17,12,8.6
2014,01,17,13,8.6
2014,01,17,14,8.6
2014,01,17,15,8.6
2014,01,17,16,8.5
2014,01,17,17,8.6
2014,01,17,18,8.7
2014,01,17,19,8.8
2014,01,17,20,8.9
2014,01,17,21,9.0
2014,01,17,22,9.0
2014,01,17,23,9.0
2014,01,18,00,9.0
2014,01,18,01,8.9
2014,01,18,02,8.9
2014,01,18,03,8.8
2014,01,18,04,8.8
2014,01,18,05,8.9
2014,01,18,06,8.8
2014,01,18,07,8.8
2014,01,18,08,8.8
2014,01,18,09,8.7
2014,01,18,10,8.8
2014,01,18,11,8.8
2014,01,18,12,8.7
2014,01,18,13,8.7
2014,01,18,14,8.7
2014,01,18,15,8.7
2014,01,18,16,8.7
2014,01,18,17,8.7
2014,01,18,18,8.8
2014,01,18,19,8.8
2014,01,18,20,8.9
2014,01,18,21,8.8
2014,01,18,22,8.8
2014,01,18,23,8.8
2014,01,19,00,8.7
2014,01,19,01,8.7
2014,01,19,02,8.7
2014,01,19,03,8.7
2014,01,19,04,8.7
2014,01,19,05,8.7
2014,01,19,06,8.7
2014,01,19,07,8.7
2014,01,19,08,8.7
2014,01,19,09,8.7
2014,01,19,10,8.6
2014,01,19,11,8.6
2014,01,19,12,8.6
2014,01,19,13,8.5
2014,01,19,14,8.5
2014,01,19,15,8.5
2014,01,19,16,8.5
2014,01,19,17,8.5
2014,01,19,18,8.5
2014,01,19,19,8.6
2014,01,19,20,8.7
2014,01,19,21,8.7
2014,01,19,22,8.7
2014,01,19,23,8.7
2014,01,20,00,8.7
2014,01,20,01,8.6
2014,01,20,02,8.6
2014,01,20,03,8.5
2014,01,20,04,8.5
2014,01,20,05,8.5
2014,01,20,06,8.5
2014,01,20,07,8.5
2014,01,20,08,8.5
2014,01,20,09,8.6
2014,01,20,10,8.6
2014,01,20,11,8.6
2014,01,20,12,8.6
2014,01,20,13,8.6
2014,01,20,14,8.6
2014,01,20,15,8.6
2014,01,20,16,8.6
2014,01,20,17,8.6
2014,01,20,18,8.6
2014,01,20,19,8.6
2014,01,20,20,8.7
2014,01,20,21,8.7
2014,01,20,22,8.8
2014,01,20,23,8.8
2014,01,21,00,8.9
2014,01,21,01,8.8
2014,01,21,02,8.8
2014,01,21,03,8.8
2014,01,21,04,8.7
2014,01,21,05,8.7
2014,01,21,06,8.7
2014,01,21,07,8.7
2014,01,21,08,8.7
2014,01,21,09,8.7
2014,01,21,10,8.6
2014,01,21,11,8.6
2014,01,21,12,8.6
2014,01,21,13,8.6
2014,01,21,14,8.6
2014,01,21,15,8.6
2014,01,21,16,8.6
2014,01,21,17,8.6
2014,01,21,18,8.6
2014,01,21,19,8.6
2014,01,21,20,8.6
2014,01,21,21,8.6
2014,01,21,22,8.7
2014,01,21,23,8.7
2014,01,22,00,8.8
2014,01,22,01,8.8
2014,01,22,02,8.8
2014,01,22,03,8.8
2014,01,22,04,8.7
2014,01,22,05,8.7
2014,01,22,06,8.6
2014,01,22,07,8.6
2014,01,22,08,8.6
2014,01,22,09,8.6
2014,01,22,10,8.6
2014,01,22,11,8.6
2014,01,22,12,8.7
2014,01,22,13,8.7
2014,01,22,14,8.6
2014,01,22,15,8.6
2014,01,22,16,8.6
2014,01,22,17,8.6
2014,01,22,18,8.7
2014,01,22,19,8.7
2014,01,22,20,8.7
2014,01,22,21,8.7
2014,01,22,22,8.8
2014,01,22,23,8.8
2014,01,23,00,8.8
2014,01,23,01,8.7
2014,01,23,02,8.7
2014,01,23,03,8.6
2014,01,23,04,8.6
2014,01,23,05,8.6
2014,01,23,06,8.6
2014,01,23,07,8.6
2014,01,23,08,8.6
2014,01,23,09,8.6
2014,01,23,10,8.7
2014,01,23,11,8.7
2014,01,23,12,8.7
2014,01,23,13,8.7
2014,01,23,14,8.7
2014,01,23,15,8.6
2014,01,23,16,8.6
2014,01,23,17,8.8
2014,01,23,18,8.8
2014,01,23,19,8.9
2014,01,23,20,8.9
2014,01,23,21,8.9
2014,01,23,22,9.0
2014,01,23,23,9.0
2014,01,24,00,9.0
2014,01,24,01,9.0
2014,01,24,02,8.9
2014,01,24,03,8.9
2014,01,24,04,8.9
2014,01,24,05,8.9
2014,01,24,06,8.8
2014,01,24,07,8.8
2014,01,24,08,8.8
2014,01,24,09,8.8
2014,01,24,10,8.8
2014,01,24,11,8.8
2014,01,24,12,8.7
2014,01,24,13,8.7
2014,01,24,14,8.7
2014,01,24,15,8.7
2014,01,24,16,8.7
2014,01,24,17,8.7
2014,01,24,18,8.7
2014,01,24,19,8.8
2014,01,24,20,8.8
2014,01,24,21,8.8
2014,01,24,22,8.8
2014,01,24,23,8.8
2014,01,25,00,8.9
2014,01,25,01,8.8
2014,01,25,02,8.8
2014,01,25,03,8.8
2014,01,25,04,8.8
2014,01,25,05,8.8
2014,01,25,06,8.8
2014,01,25,07,8.7
2014,01,25,08,8.7
2014,01,25,09,8.7
2014,01,25,10,8.7
2014,01,25,11,8.7
2014,01,25,12,8.6
2014,01,25,13,8.7
2014,01,25,14,8.7
2014,01,25,15,8.7
2014,01,25,16,8.7
2014,01,25,17,8.7
2014,01,25,18,8.7
2014,01,25,19,8.8
2014,01,25,20,8.9
2014,01,25,21,8.9
2014,01,25,22,8.9
2014,01,25,23,9.0
2014,01,26,00,9.0
2014,01,26,01,9.0
2014,01,26,02,8.9
2014,01,26,03,8.9
2014,01,26,04,8.9
2014,01,26,05,8.8
2014,01,26,06,8.8
2014,01,26,07,8.8
2014,01,26,08,8.7
2014,01,26,09,8.7
2014,01,26,10,8.7
2014,01,26,11,8.7
2014,01,26,12,8.7
2014,01,26,13,8.8
2014,01,26,14,8.8
2014,01,26,15,8.8
2014,01,26,16,8.8
2014,01,26,17,8.9
2014,01,26,18,8.9
2014,01,26,19,9.1
2014,01,26,20,9.3
2014,01,26,21,9.3
2014,01,26,22,9.4
2014,01,26,23,9.3
2014,01,27,00,9.2
2014,01,27,01,9.1
2014,01,27,02,9.1
2014,01,27,03,9.1
2014,01,27,04,9.0
2014,01,27,05,9.0
2014,01,27,06,9.0
2014,01,27,07,9.0
2014,01,27,08,9.0
2014,01,27,09,8.9
2014,01,27,10,8.9
2014,01,27,11,8.9
2014,01,27,12,8.9
2014,01,27,13,8.9
2014,01,27,14,8.9
2014,01,27,15,8.9
2014,01,27,16,8.9
2014,01,27,17,8.9
2014,01,27,18,8.9
2014,01,27,19,8.9
2014,01,27,20,8.9
2014,01,27,21,8.9
2014,01,27,22,8.9
2014,01,27,23,8.9
2014,01,28,00,8.9
2014,01,28,01,8.9
2014,01,28,02,8.9
2014,01,28,03,8.9
2014,01,28,04,8.9
2014,01,28,05,9.0
2014,01,28,06,9.0
2014,01,28,07,9.0
2014,01,28,08,9.0
2014,01,28,09,9.0
2014,01,28,10,9.0
2014,01,28,11,9.0
2014,01,28,12,9.0
2014,01,28,13,9.0
2014,01,28,14,9.0
2014,01,28,15,9.0
2014,01,28,16,9.0
2014,01,28,17,9.0
2014,01,28,18,9.0
2014,01,28,19,9.0
2014,01,28,20,9.0
2014,01,28,21,9.0
2014,01,28,22,9.0
2014,01,28,23,9.0
2014,01,29,00,9.0
2014,01,29,01,9.0
2014,01,29,02,9.0
2014,01,29,03,9.0
2014,01,29,04,9.0
2014,01,29,05,9.0
2014,01,29,06,9.0
2014,01,29,07,9.0
2014,01,29,08,9.0
2014,01,29,09,9.0
2014,01,29,10,9.0
2014,01,29,11,9.1
2014,01,29,12,9.1
2014,01,29,13,9.1
2014,01,29,14,9.1
2014,01,29,15,9.1
2014,01,29,16,9.0
2014,01,29,17,9.0
2014,01,29,18,9.0
2014,01,29,19,9.0
2014,01,29,20,9.0
2014,01,29,21,9.0
2014,01,29,22,9.1
2014,01,29,23,9.1
2014,01,30,00,9.0
2014,01,30,01,9.0
2014,01,30,02,9.0
2014,01,30,03,9.0
2014,01,30,04,9.0
2014,01,30,05,9.0
2014,01,30,06,9.0
2014,01,30,07,9.0
2014,01,30,08,9.0
2014,01,30,09,9.0
2014,01,30,10,9.0
2014,01,30,11,9.0
2014,01,30,12,9.0
2014,01,30,13,9.0
2014,01,30,14,8.9
2014,01,30,15,9.0
2014,01,30,16,9.0
2014,01,30,17,9.0
2014,01,30,18,9.0
2014,01,30,19,9.0
2014,01,30,20,9.1
2014,01,30,21,9.1
2014,01,30,22,9.1
2014,01,30,23,9.1
2014,01,31,00,9.0
2014,01,31,01,9.0
2014,01,31,02,9.0
2014,01,31,03,9.0
2014,01,31,04,9.0
2014,01,31,05,9.0
2014,01,31,06,9.0
2014,01,31,07,9.0
2014,01,31,08,9.0
2014,01,31,09,9.0
2014,01,31,10,9.0
2014,01,31,11,8.9
2014,01,31,12,8.9
2014,01,31,13,8.9
2014,01,31,14,8.9
2014,01,31,15,8.9
2014,01,31,16,8.9
2014,01,31,17,8.9
2014,01,31,18,9.0
2014,01,31,19,9.0
2014,01,31,20,9.1
2014,01,31,21,9.1
2014,01,31,22,9.1
2014,01,31,23,9.1
2014,02,01,00,9.0
2014,02,01,01,9.0
2014,02,01,02,9.0
2014,02,01,03,9.0
2014,02,01,04,9.0
2014,02,01,05,9.0
2014,02,01,06,9.0
2014,02,01,07,9.0
2014,02,01,08,9.0
2014,02,01,09,8.9
2014,02,01,10,8.9
2014,02,01,11,8.9
2014,02,01,12,8.9
2014,02,01,13,8.8
2014,02,01,14,8.8
2014,02,01,15,8.9
2014,02,01,16,8.9
2014,02,01,17,8.9
2014,02,01,18,8.9
2014,02,01,19,8.9
2014,02,01,20,9.0
2014,02,01,21,9.0
2014,02,01,22,9.0
2014,02,01,23,9.0
2014,02,02,00,9.1
2014,02,02,01,9.0
2014,02,02,02,8.9
2014,02,02,03,8.9
2014,02,02,04,8.9
2014,02,02,05,9.0
2014,02,02,06,9.0
2014,02,02,07,9.0
2014,02,02,08,9.0
2014,02,02,09,8.9
2014,02,02,10,8.9
2014,02,02,11,8.9
2014,02,02,12,9.0
2014,02,02,13,9.0
2014,02,02,14,9.0
2014,02,02,15,8.9
2014,02,02,16,9.0
2014,02,02,17,9.0
2014,02,02,18,9.3
2014,02,02,19,9.2
2014,02,02,20,9.2
2014,02,02,21,9.2
2014,02,02,22,9.2
2014,02,02,23,9.2
2014,02,03,00,9.1
2014,02,03,01,9.0
2014,02,03,02,9.0
2014,02,03,03,9.0
2014,02,03,04,9.0
2014,02,03,05,9.0
2014,02,03,06,9.0
2014,02,03,07,8.9
2014,02,03,08,8.9
2014,02,03,09,8.9
2014,02,03,10,8.9
2014,02,03,11,8.9
2014,02,03,12,8.9
2014,02,03,13,8.9
2014,02,03,14,8.9
2014,02,03,15,8.9
2014,02,03,16,8.9
2014,02,03,17,8.9
2014,02,03,18,8.9
2014,02,03,19,8.9
2014,02,03,20,8.9
2014,02,03,21,8.9
2014,02,03,22,9.0
2014,02,03,23,9.0
2014,02,04,00,9.0
2014,02,04,01,8.9
2014,02,04,02,8.9
2014,02,04,03,8.9
2014,02,04,04,8.9
2014,02,04,05,8.9
2014,02,04,06,8.9
2014,02,04,07,8.9
2014,02,04,08,8.9
2014,02,04,09,8.8
2014,02,04,10,8.8
2014,02,04,11,8.8
2014,02,04,12,8.8
2014,02,04,13,8.8
2014,02,04,14,8.8
2014,02,04,15,8.8
2014,02,04,16,8.8
2014,02,04,17,8.8
2014,02,04,18,8.8
2014,02,04,19,8.9
2014,02,04,20,9.0
2014,02,04,21,9.2
2014,02,04,22,9.2
2014,02,04,23,9.1
2014,02,05,00,9.0
2014,02,05,01,8.9
2014,02,05,02,8.9
2014,02,05,03,8.9
2014,02,05,04,8.8
2014,02,05,05,8.8
2014,02,05,06,8.9
2014,02,05,07,8.8
2014,02,05,08,8.8
2014,02,05,09,8.7
2014,02,05,10,8.7
2014,02,05,11,8.7
2014,02,05,12,8.8
2014,02,05,13,8.7
2014,02,05,14,8.7
2014,02,05,15,8.7
2014,02,05,16,8.7
