DN,BottomTemp,Temperature,BottomSalCorrected,Salinity,dayDN,dailyAverage,AvgEstimatedTemp,oceanSalEstimate
2012-12-12 19:15:00,11.618816227346564,,30.820641065121915,,2012-12-12,11.791666666666666,10.866827631337742,31.262043576173305
2012-12-13 17:25:00,10.9646642327674,,30.275884856439536,,2012-12-13,11.533333333333333,10.56266585536691,30.98966547183211
2012-12-14 21:20:00,10.884436790617452,,29.42045041264604,,2012-12-14,11.424999999999999,10.49981226353915,30.561948249935366
2012-12-15 10:15:00,11.28836543073754,,31.417307635251863,,2012-12-15,11.358333333333334,10.612232921356958,31.560376861238275
2012-12-16 20:15:00,10.354782736059908,,30.16594437791145,,2012-12-16,11.354166666666666,10.299649800908858,30.93469523256807
2012-12-17 09:05:00,10.614492480895317,,29.38214252762745,,2012-12-17,11.391666666666667,10.398719715853995,30.54279430742607
2012-12-18 12:45:00,10.386018196473486,,29.42042928947814,,2012-12-18,11.3,10.292006065491162,30.561937688351414
2012-12-19 14:00:00,10.366996880080288,,30.10839012025424,,2012-12-19,11.220833333333333,10.25927673780454,30.905918103739467
2012-12-20 02:10:00,10.272744916889554,,29.784135004368427,,2012-12-20,11.283333333333333,10.248692750074296,30.743790545796557
2012-12-21 15:25:00,10.09830843312863,,27.269178521875524,,2012-12-21,10.870833333333335,10.053047255487321,29.486312304550108
2012-12-22 17:00:00,10.141627964773209,,27.365238638447288,,2012-12-22,10.862499999999999,10.064709321591069,29.53434236283599
2012-12-23 17:30:00,10.009813109961703,,28.721487360652308,,2012-12-23,10.65,9.949937703320566,30.212466723938498
2012-12-24 07:30:00,9.804330591074882,,26.96448572416505,,2012-12-24,11.0375,10.01061019702496,29.33396590569487
2012-12-25 07:45:00,9.991501717784558,,28.38979924658572,,2012-12-25,11.025,10.068833905928186,30.046622666905208
2012-12-26 08:30:00,9.868900337292876,,26.830599349944634,,2012-12-26,10.770833333333334,9.943244556875404,29.267022718584663
2012-12-27 20:10:00,10.089795885538004,,28.252095980487123,,2012-12-27,10.691666666666665,9.990487517401556,29.97777103385591
2012-12-28 09:35:00,9.966095407492343,,28.24368978167047,,2012-12-28,10.704166666666666,9.953420691386336,29.97356793444758
2012-12-29 21:25:00,10.085807106296024,,29.273894218606625,,2012-12-29,10.6875,9.987769035432008,30.48867015291566
2012-12-30 21:45:00,10.507974039597132,,30.408272749639227,,2012-12-30,10.658333333333333,10.118769124310155,31.055859418431957
2012-12-31 10:00:00,10.455381233647314,,30.667697989319358,,2012-12-31,10.691666666666665,10.11234930010466,31.185572038272024
2013-01-01 11:20:00,10.453905556153876,,31.060752710957008,,2013-01-01,10.674999999999999,10.10630185205129,31.382099399090848
2013-01-02 10:45:00,10.13671065198366,,30.477545309218225,,2013-01-02,10.591666666666667,9.97279243955011,31.09049569822146
2013-01-03 13:20:00,9.667334860247353,,30.31075115934095,,2013-01-03,10.441666666666666,9.766333842304673,31.007098623282822
2013-01-04 14:25:00,9.84839067606421,,30.381875473994697,,2013-01-04,10.604166666666666,9.880852447576958,31.042660780609694
2013-01-05 02:15:00,10.11941993528148,,30.421340798255,,2013-01-05,10.5625,9.957306645093826,31.062393442739847
2013-01-06 04:00:00,9.869850891605612,,30.1828938614507,,2013-01-06,10.466666666666667,9.842172519424095,30.943169974337696
2013-01-07 15:30:00,9.804304866673652,,29.716289185168925,,2013-01-07,10.466666666666667,9.820323844446774,30.709867636196808
2013-01-08 17:35:00,9.943089406291104,,29.58699626104392,,2013-01-08,10.504166666666666,9.87908535765259,30.645221174134306
2013-01-09 17:00:00,10.046895224318202,,29.48318535457884,,2013-01-09,10.454166666666667,9.89702063032829,30.593315720901764
2013-01-10 19:40:00,10.041671162563834,,30.29044779458674,,2013-01-10,10.312500000000002,9.848057054187946,30.996946940905715
2013-01-11 17:35:00,9.792823187466796,,30.561292067947047,,2013-01-11,10.2375,9.740107729155598,31.13236907758587
2013-01-12 08:25:00,9.643819584596804,,30.83424791678269,,2013-01-12,9.55,9.461273194865601,31.26884700200369
2013-01-13 10:05:00,9.940542906726314,,31.033806383382675,,2013-01-13,9.591666666666667,9.57406985779766,31.368626235303683
2013-01-14 22:35:00,10.41912477493814,,31.29482588728297,,2013-01-14,9.954166666666667,9.854430480534935,31.49913598725383
2013-01-15 12:15:00,9.967699536973765,,31.10858101592437,,2013-01-15,10.041666666666666,9.733122067880144,31.40601355157453
2013-01-16 13:15:00,9.952610362869873,,31.28593790219688,,2013-01-16,10.016666666666667,9.719759009845513,31.494691994710784
2013-01-17 13:45:00,9.84376764215095,,31.153860650369204,,2013-01-17,9.441666666666666,9.491811436272538,31.428653368796947
2013-01-18 02:35:00,9.985618120459886,,31.05009682162789,,2013-01-18,9.304166666666665,9.493261595708852,31.37677145442629
2013-01-19 00:00:00,10.185374841522307,,23.50608672279173,,2013-01-19,9.295833333333333,9.557069391618548,27.60476640500821
2013-01-25 18:55:00,9.607596360567792,,31.468050040521508,,2013-01-25,9.883333333333335,9.560309897967043,31.585748063873098
2013-01-26 08:00:00,9.377487937020662,9.19,31.461344765164565,31.70344608722469,2013-01-26,9.641666666666666,9.403051534562442,31.58239542619463
2013-01-27 07:55:00,9.264895020628888,9.19,31.010256064372538,31.70344608722469,2013-01-27,9.556521739130433,9.337138919919774,31.356851075798616
2013-01-28 21:10:00,9.233797962404518,8.93,31.011136070441708,31.209485361577165,2013-01-28,9.6,9.254599320801505,31.110310716009437
2013-01-29 09:20:00,9.196882040275012,8.96,31.086824877040726,31.32308598781305,2013-01-29,9.604166666666666,9.253682902313892,31.20495543242689
2013-01-30 11:05:00,9.402899784189277,9.06,31.481569570687935,31.496169426950992,2013-01-30,9.604347826086956,9.355749203425411,31.48886949881946
2013-01-31 11:20:00,9.3066042005307,8.99,30.9766805248122,31.124084337920447,2013-01-31,9.616666666666667,9.304423622399122,31.050382431366323
2013-02-01 23:50:00,9.69869831150438,9.09,31.10818894802867,31.134975769760423,2013-02-01,9.570833333333333,9.453177214945905,31.121582358894546
2013-02-02 12:25:00,9.32070857587453,9.09,31.7906458735788,31.134975769760423,2013-02-02,9.354166666666666,9.254958414180399,31.462810821669613
2013-02-03 01:45:00,9.632396573280564,9.13,31.3505671288765,31.701984335044237,2013-02-03,9.508333333333333,9.423576635537966,31.526275731960368
2013-02-04 13:50:00,9.350100719234968,9.16,31.151195684590185,31.28785634705454,2013-02-04,9.491666666666667,9.333922461967212,31.21952601582236
2013-02-05 13:55:00,9.52719876117711,9.16,31.250498435171085,31.28785634705454,2013-02-05,9.6,9.429066253725702,31.269177391112812
2013-02-06 14:50:00,9.44949841414255,9.3,31.29879809697106,31.36378071776872,2013-02-06,9.6,9.449832804714184,31.331289407369887
2013-02-07 16:30:00,9.397100013317178,9.230000000670554,30.731699880145385,31.425272368594484,2013-02-07,9.487499999999999,9.371533337995912,31.078486124369935
2013-02-08 07:20:00,9.247700592919578,9.13,30.92819867587608,30.940978212877894,2013-02-08,9.375,9.25090019763986,30.934588444376985
2013-02-09 19:45:00,9.23761279467109,8.96,30.634584301017068,31.534729730198748,2013-02-09,9.4,9.199204264890364,31.08465701560791
2013-02-10 20:30:00,9.494500710943583,9.249999999329448,30.75189799643172,31.625046612297947,2013-02-10,9.425,9.38983357009101,31.188472304364833
2013-02-11 19:35:00,9.645885782338684,9.32,31.00119717412943,31.7906458735788,2013-02-11,9.291666666666666,9.419184149668451,31.395921523854113
2013-02-12 23:25:00,9.728615074151744,9.28,30.81069719550665,31.66991312327187,2013-02-12,9.2875,9.432038358050582,31.24030515938926
2013-02-13 00:00:00,9.787314212343832,9.28,30.540074438053253,31.66991312327187,2013-02-13,9.354166666666666,9.473826959670165,31.10499378066256
2013-02-14 10:10:00,9.444140870128132,9.36,30.65663899980876,31.39433226065557,2013-02-14,9.504166666666666,9.436102512264933,31.025485630232165
2013-02-15 11:15:00,9.334336180606837,9.19,30.977753838536103,31.67822892650316,2013-02-15,9.470833333333333,9.33172317131339,31.32799138251963
2013-02-16 12:00:00,9.534899389159897,9.33,30.875299389159892,31.53337521668901,2013-02-16,9.4625,9.442466463053298,31.20433730292445
2013-02-17 12:40:00,9.38974418027196,9.33,30.67585696429467,31.53337521668901,2013-02-17,9.475,9.398248060090653,31.104616090491838
2013-02-18 14:20:00,9.248894895215392,8.99,30.64569566093309,31.23023830108514,2013-02-18,9.295833333333333,9.178242742849575,30.937966981009115
2013-02-19 15:30:00,9.204900843156796,8.98,29.50827779687876,30.6345550865088,2013-02-19,9.237499999999999,9.140800281052265,30.07141644169378
2013-02-20 05:40:00,9.299096453003498,8.98,30.05918403851575,30.6345550865088,2013-02-20,9.191666666666666,9.156921039890054,30.346869562512275
2013-02-21 06:15:00,9.151697433626603,8.88,30.39369871675983,30.79404906420399,2013-02-21,9.133333333333333,9.055010255653313,30.59387389048191
2013-02-22 18:15:00,9.03078604942767,8.790000001676379,30.3958831867336,30.529420158417132,2013-02-22,9.054166666666665,8.95831757259024,30.462651672575365
2013-02-23 18:20:00,8.85392485771204,8.559999999329449,30.132063669497786,30.50174592782818,2013-02-23,8.954166666666667,8.789363841236051,30.316904798662982
2013-02-24 19:40:00,9.07559177208574,8.649999999664724,30.463934245252258,30.45143518589539,2013-02-24,8.979166666666666,8.901586146139044,30.457684715573826
2013-02-25 07:45:00,9.01279579216271,8.649999999664724,30.18298569227482,30.45143518589539,2013-02-25,9.116666666666665,8.926487486164701,30.317210439085105
2013-02-26 21:00:00,9.136342228936394,8.660000000335275,30.313976590480912,30.28848618856004,2013-02-26,9.016666666666667,8.937669631979446,30.301231389520474
2013-02-27 21:35:00,9.04050145271899,8.810000000335277,30.375697578828373,30.421392764019,2013-02-27,9.012500000000001,8.954333817684756,30.398545171423685
2013-02-28 10:10:00,9.090025353686446,8.88,30.447661720904783,30.31577806206905,2013-02-28,9.012500000000001,8.994175117895482,30.381719891486917
2013-03-01 00:20:00,9.310874702650054,8.88,29.60778475637944,30.31577806206905,2013-03-01,9.012500000000001,9.06779156755002,29.961781409224244
2013-03-02 13:15:00,9.243493405662736,9.02,29.765332943456038,29.75519257937633,2013-03-02,8.979166666666666,9.080886690776467,29.760262761416186
2013-03-03 12:00:00,9.12866047242928,9.02,29.313659326702595,29.75519257937633,2013-03-03,8.875,9.007886824143092,29.534425953039463
2013-03-04 00:00:00,9.598462549034176,9.52,24.197332216335365,29.9187154452254,2013-03-04,8.833333333333334,9.317265294122505,27.05802383078038
2013-03-09 18:35:00,9.132234899016025,8.559999999664724,30.27749563580633,28.302639981898167,2013-03-09,9.145833333333334,8.946022744004694,29.29006780885225
2013-03-10 07:10:00,8.993046774476586,8.559999999664724,30.623886816663077,28.302639981898167,2013-03-10,9.117391304347825,8.890146026163045,29.46326339928062
2013-03-11 08:15:00,9.118400765949032,8.75,30.56087165988581,30.12965750714611,2013-03-11,9.058333333333334,8.975578033094122,30.34526458351596
2013-03-12 08:30:00,9.283206326934772,8.929999999664723,30.47076915754303,30.626283965132565,2013-03-12,9.129166666666666,9.114124331088721,30.5485265613378
2013-03-13 21:00:00,9.939874423244095,9.430000000670551,29.818197755559087,30.35549107420704,2013-03-13,9.154166666666667,9.508013696860438,30.086844414883064
2013-03-14 09:00:00,9.752217679541191,9.730000001341104,29.71695208761537,29.719167396729343,2013-03-14,9.216666666666667,9.566294782516321,29.718059742172358
2013-03-15 00:35:00,10.033177729663148,9.730000001341104,29.65698864794012,29.719167396729343,2013-03-15,9.25,9.671059243668084,29.688078022334732
2013-03-16 10:35:00,10.071196434295077,9.719999999329447,29.6642,29.315553846596256,2013-03-16,9.3125,9.701232144541509,29.489876923298127
2013-03-17 10:40:00,9.530669770050702,9.719999999329447,29.642927766638397,29.315553846596256,2013-03-17,9.129166666666666,9.459945478682272,29.479240806617327
2013-03-18 00:35:00,10.250436286589252,10.24,29.716933940739057,29.729996091820105,2013-03-18,9.2875,9.925978762196417,29.723465016279583
2013-03-19 02:00:00,10.180395217577829,10.24,29.532928362404014,29.729996091820105,2013-03-19,9.033333333333333,9.817909516970387,29.63146222711206
2013-03-21 17:25:00,9.390886333408748,9.190000000335276,25.683307336548754,29.44900695685869,2013-03-21,9.017391304347827,9.19942587936395,27.566157146703723
2013-03-22 05:30:00,9.390109666614284,9.190000000335276,30.814161666873154,29.44900695685869,2013-03-22,8.991666666666667,9.19059211120541,30.13158431186592
2013-03-23 17:50:00,9.004301666657057,9.190000000335276,31.319798333342188,29.44900695685869,2013-03-23,9.016666666666667,9.070322777886332,30.384402645100437
2013-03-24 07:05:00,9.228478000117391,9.190000000335276,31.386279333446208,29.44900695685869,2013-03-24,9.2125,9.210326000150888,30.417643145152446
2013-03-25 19:25:00,9.462863666318292,9.470000000335276,31.4137560002398,31.38476220264464,2013-03-25,9.295833333333333,9.409565666662301,31.39925910144222
2013-03-26 06:00:00,9.47022333320738,9.470000000335276,31.194117333779563,31.38476220264464,2013-03-26,9.358333333333333,9.432852222291997,31.2894397682121
2013-03-27 08:10:00,9.351202333320684,9.43,30.98419933333679,31.12098634141908,2013-03-27,9.291666666666666,9.357622999995783,31.052592837377937
2013-03-28 20:15:00,9.848817999902836,10.09,31.13581633378496,30.858902570012773,2013-03-28,9.558333333333334,9.83238377774539,30.997359451898866
2013-03-29 07:20:00,9.941576332919446,10.09,30.7568643335226,30.858902570012773,2013-03-29,9.545833333333333,9.859136555417592,30.807883451767687
2013-03-30 00:00:00,10.674229667586117,10.010000000670551,25.522512333806556,30.927156365280453,2013-03-30,9.741666666666667,10.141965444974446,28.224834349543507
2013-03-30 10:20:00,,9.390000000670554,,31.58799657428123,2013-03-30,9.741666666666667,9.93529877830778,28.555254454043894
2013-03-31 10:35:00,,9.34,,31.66730748206487,2013-03-31,9.9,9.971409889195371,28.594909907935715
2013-04-01 00:15:00,,10.589999999664723,,31.063223020386705,2013-04-01,9.91304347826087,10.392424381837236,28.29286767709663
2013-04-02 00:35:00,,10.58,,30.745577833387618,2013-04-02,10.165217391304349,10.473149019630155,28.134045083597087
2013-04-03 13:30:00,,10.38,,30.798891404859088,2013-04-03,10.445833333333333,10.500021000306484,28.160701869332822
2013-04-04 03:50:00,,10.94000000167638,,30.30032304253623,2013-04-04,10.275,10.6297432230875,27.911417688171394
2013-04-05 03:25:00,,10.67,,30.340710729332077,2013-04-05,9.804166666666667,10.382798778084261,27.931611531569317
2013-04-06 04:50:00,,10.53,,29.958400488211065,2013-04-06,9.720833333333333,10.308354333639818,27.74045641100881
2013-04-07 05:10:00,,10.530000000670553,,29.8447307196184,2013-04-07,9.9,10.368076556085557,27.68362152671248
2013-04-08 18:55:00,,10.28999999899417,,30.159355440884674,2013-04-08,9.843478260869565,10.269235975816619,27.840933887345614
2013-04-09 18:50:00,,10.119999999664724,,30.561266777627296,2013-04-09,9.9125,10.23557655575028,28.041889555716928
2013-04-10 08:10:00,,10.19,,30.14825032892088,2013-04-10,10.012500000000001,10.292243222528706,27.83538133136372
2013-04-11 20:50:00,,10.560000000670554,,30.14027982267239,2013-04-11,9.941666666666666,10.391965444974446,27.83139607823947
2013-04-12 08:50:00,,10.160000000670552,,30.36845764797497,2013-04-12,10.020833333333334,10.285021000530001,27.945484990890762
2013-04-13 21:50:00,,10.839999999664723,,29.76383841776546,2013-04-13,9.883333333333333,10.465854333528057,27.643175375786008
2013-04-14 10:00:00,,10.250000000335277,,29.80614546911662,2013-04-14,9.766666666666667,10.23029877819602,27.664328901461587
2013-04-15 10:40:00,,10.110000000335276,,29.809754762215384,2013-04-15,9.720833333333333,10.168354333751575,27.66613354801097
2013-04-16 11:15:00,,10.24,,29.686173514980112,2013-04-16,9.883333333333333,10.265854333639817,27.604342924393336
2013-04-17 12:05:00,,10.04,,29.76512323975564,2013-04-17,10.012500000000001,10.242243222528707,27.6438177867811
2013-04-18 02:15:00,,11.45,,29.20956516302236,2013-04-18,10.316666666666666,10.813632111417595,27.36603874841446
2013-04-19 14:10:00,,10.969999999664724,,28.338004186125247,2013-04-19,10.512500000000001,10.718909889083614,26.930258259965903
2013-04-20 15:45:00,,10.67,,28.85528116867614,2013-04-20,10.565217391304348,10.636482352963489,27.188896751241348
2013-04-21 17:05:00,,10.26,,29.431540841364864,2013-04-21,11.070833333333333,10.668354333639817,27.477026587585712
2013-04-22 17:55:00,,10.07,,29.38121735417967,2013-04-22,10.862499999999999,10.535576555862038,27.451864843993114
2013-04-23 17:55:00,,8.82,,30.445880377243306,2013-04-23,10.258333333333333,9.917521000306484,27.98419635552493
2013-04-24 18:40:00,,8.9,,30.4059504591978,2013-04-24,9.950000000000001,9.841409889195374,27.96423139650218
2013-04-25 19:35:00,,9.34,,30.300546802388933,2013-04-25,9.579166666666667,9.864465444750927,27.911529568097745
2013-04-26 19:20:00,,9.0,,30.27237683066865,2013-04-26,9.533333333333333,9.735854333639816,27.897444582237604
2013-04-27 07:00:00,,8.72,,30.52614063703261,2013-04-27,10.095833333333333,9.830021000306482,28.024326485419586
2013-04-28 09:40:00,,9.05,,29.92268595546302,2013-04-28,11.054166666666667,10.259465444750928,27.72259914463479
2013-04-29 22:50:00,,11.37,,29.16177623919908,2013-04-29,11.65,11.23140988919537,27.34214428650282
2013-04-30 11:20:00,,9.47,,29.907712309562807,2013-04-30,11.320833333333333,10.488354333639817,27.715112321684682
2013-05-01 12:25:00,,8.58,,30.27411134047153,2013-05-01,10.133333333333333,9.795854333639817,27.898311837139044
2013-05-02 13:40:00,,8.65,,30.30354479332994,2013-05-02,9.666666666666666,9.663632111417593,27.913028563568247
2013-05-03 15:05:00,,8.95,,30.46602599729812,2013-05-03,9.466666666666667,9.696965444750928,27.99426916555234
2013-05-04 15:35:00,,8.54,,30.624582104692045,2013-05-04,9.191666666666666,9.468632111417595,28.0735472192493
2013-05-05 17:00:00,,8.58,,30.644239289156584,2013-05-05,9.3125,9.522243222528706,28.08337581148157
2013-05-06 05:35:00,,8.63,,30.435998885432817,2013-05-06,10.420833333333333,9.908354333639815,27.979255609619685
2013-05-07 06:15:00,,10.24,,29.478388585065,2013-05-07,11.458333333333334,10.790854333639816,27.50045045943578
2013-05-08 19:35:00,,10.97,,29.37427331538311,2013-05-08,11.804166666666667,11.149465444750929,27.448392824594833
2013-05-09 07:35:00,,10.94,,29.69740434821168,2013-05-09,12.070833333333333,11.228354333639816,27.60995834100912
2013-05-10 08:05:00,,10.94,,29.98918477980531,2013-05-10,12.154166666666667,11.256132111417594,27.755848556805933
2013-05-11 08:50:00,,10.05,,30.238379266746964,2013-05-11,12.612499999999999,11.112243222528704,27.88044580027676
2013-05-12 09:25:00,,11.18,,29.949390808235982,2013-05-12,13.020833333333334,11.625021000306484,27.735951571021268
2013-05-13 23:15:00,,11.71,,29.6696253740845,2013-05-13,12.845833333333333,11.743354333639816,27.59606885394553
2013-05-14 00:00:00,,11.81,,29.61402016529603,2013-05-14,13.174999999999999,11.886409889195372,27.568266249551293
2013-05-15 11:05:00,,11.13,,29.643400284517487,2013-05-15,13.0875,11.63057655586204,27.58295630916202
2013-05-16 11:55:00,,12.33,,28.824952377341447,2013-05-16,13.091666666666667,12.031965444750929,27.173732355574003
2013-05-17 11:20:00,,12.32,,28.47243979398637,2013-05-17,13.083333333333334,12.025854333639819,26.997476063896464
2013-05-18 13:50:00,,12.81,,27.890949952936552,2013-05-18,13.104347826086956,12.196192497891024,26.706731143371556
2013-05-19 02:30:00,,13.48,,27.38858134757093,2013-05-19,12.108333333333334,12.087521000306483,26.455546840688744
2013-05-20 16:00:00,,10.77,,28.24378402694355,2013-05-20,11.708333333333334,11.050854333639817,26.883148180375052
